from;to;connection;weight
Michael Seibold;Annie Hunecke;Filmkunstkollektiv (rechte Propaganda Firma);3
Michael Seibold;Paul Klemm;Filmkunstkollektiv (rechte Propaganda Firma);3
Michael Seibold;Simon Kaupert;Filmkunstkollektiv (rechte Propaganda Firma);3
Michael Seibold;Anton Baron;Treffen der AfD Jugend BW und der IB im Landtag;2
Michael Seibold;Dominik Asch;Treffen der AfD Jugend BW und der IB im Landtag;2
Michael Seibold;Steffen Degler;Treffen der AfD Jugend BW und der IB im Landtag;3
Michael Seibold;Matthias Helferich;Treffen der AfD Jugend BW und der IB im Landtag;2
Steffen Degler;Anton Baron;Treffen der AfD Jugend BW und der IB im Landtag;2
Udo Stein;Steffen Degler;AfD Baden-Württemberg Landtag;3
Max Otte;Vera Lengsfeld;Neues Hambacher Fest 2018;1
Max Otte;Jörg Meuthen;Neues Hambacher Fest 2018;1
Max Otte;Thilo Sarrazin;Neues Hambacher Fest 2018;1
Thilo Sarrazin;Vera Lengsfeld;Neues Hambacher Fest 2018;1
Thilo Sarrazin;Jörg Meuthen;Neues Hambacher Fest 2018;1
Jörg Meuthen;Vera Lengsfeld;Neues Hambacher Fest 2018;1
Dominik Asch;Manuel Wurm;AfD Hessen;2
Dominik Asch;Björn Höcke;AfD Hessen;2
Dominik Asch;Steffen Degler;"""Neckarwerft Podcast der """"JA BW""""";2
Dominik Asch;Anton Baron;Treffen der AfD Jugend BW und der IB im Landtag;2
Wiebke Mörig;Svenja Mörig;Mörig-Clan;4
Wiebke Mörig;Inka Mörig;Mörig-Clan;4
Wiebke Mörig;Arne Friedrich Mörig;Mörig-Clan;4
Wiebke Mörig;Astrid Mörig;Mörig-Clan;4
Inka Mörig;Svenja Mörig;Mörig-Clan;4
Inka Mörig;Sebastian Zeilinger;Mörig-Clan;4
Svenja Mörig;Thore Stein;Mörig-Clan;4
Peter Kurth;Ellen Kositza;Sommerfest auf der Terrasse;1
Peter Kurth;Vincenzo Richter;Sommerfest auf der Terrasse;1
Peter Kurth;Philip Stein;Sommerfest auf der Terrasse;1
Peter Kurth;Mathilda Huss;Sommerfest auf der Terrasse;1
Peter Kurth;Dominik Kaufner;Sommerfest auf der Terrasse;1
Peter Kurth;Jean-Pascal Hohm;Sommerfest auf der Terrasse;1
Peter Kurth;Matthias Helferich;Sommerfest auf der Terrasse;1
Peter Kurth;Marvin T. Neumann;Sommerfest auf der Terrasse;1
Peter Kurth;Mary Khan-Hohloch;Sommerfest auf der Terrasse;1
Peter Kurth;Torben Braga;Sommerfest auf der Terrasse;1
Peter Kurth;Kristin Brinker;Sommerfest auf der Terrasse;1
Peter Kurth;Benedikt Kaiser;Sommerfest auf der Terrasse;1
Peter Kurth;Maximilian Krah;Sommerfest auf der Terrasse;1
Peter Kurth;Götz Kubitschek;Sommerfest auf der Terrasse;1
Peter Kurth;Martin Sellner;Sommerfest auf der Terrasse;1
Peter Kurth;Arne Friedrich Mörig;Bundesverband der Deutschen Entsorgungs- Wasser- und Kreislaufwirtschaft;3
Benedikt Kaiser;Ellen Kositza;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Vincenzo Richter;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Philip Stein;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Mathilda Huss;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Dominik Kaufner;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Jean-Pascal Hohm;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Matthias Helferich;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Marvin T. Neumann;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Mary Khan-Hohloch;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Torben Braga;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Kristin Brinker;Sommerfest auf der Terrasse;1
Benedikt Kaiser;Jürgen Pohl;AfD Bundestag;3
Dennis Hohloch;Mary Khan-Hohloch;Verheiratet;4
Simon Kaupert;Hans-Thomas Tillschneider;Ein Prozent e.V;2
Simon Kaupert;Karl Albrecht Schachtschneider;Ein Prozent e.V;2
Simon Kaupert;Jürgen Elsässer;Ein Prozent e.V;2
Simon Kaupert;Timm Kaufmann;Filmkunstkollektiv (rechte Propaganda Firma);3
Simon Kaupert;Philip Stein;Ein Prozent e.V;3
